Experiment,Method,Column,Measure,Value
4,Median,Rotamer outliers [%],MAD,1.34
4,Median,RSRZ outliers [%],MSE,16.935556653927815
4,Median,RSRZ outliers [%],MAE,2.594026326963907
4,Median,RSRZ outliers [%],MAD,1.87
4,Median,R [%],MSE,10.422644646402995
4,Median,R [%],MAE,2.4951962847327906
4,Median,R [%],MAD,2.019000000000002
4,Median,R free [%],MSE,14.647448114873924
4,Median,R free [%],MAE,3.020627453310517
4,Median,R free [%],MAD,2.5470000000000006
4,Bayesian,Clashscore,MSE,17.749947635306892
4,Bayesian,Clashscore,MAE,3.0196399762560167
4,Bayesian,Clashscore,MAD,2.128931978526378
4,Bayesian,Ramachandran outliers [%],MSE,0.9515724854183109
4,Bayesian,Ramachandran outliers [%],MAE,0.4297057654648494
4,Bayesian,Ramachandran outliers [%],MAD,0.19906041365228277
4,Bayesian,Rotamer outliers [%],MSE,6.636941682044287
4,Bayesian,Rotamer outliers [%],MAE,1.7812882790131102
4,Bayesian,Rotamer outliers [%],MAD,1.2478178062242682
4,Bayesian,RSRZ outliers [%],MSE,14.332473407138691
4,Bayesian,RSRZ outliers [%],MAE,2.540615531400107
4,Bayesian,RSRZ outliers [%],MAD,2.0239476569713313
4,Bayesian,R [%],MSE,3.0609449037359955
4,Bayesian,R [%],MAE,1.2931757011888076
4,Bayesian,R [%],MAD,0.9751638106307681
4,Bayesian,R free [%],MSE,3.0659320169294
4,Bayesian,R free [%],MAE,1.3035363268387712
4,Bayesian,R free [%],MAD,1.032271038421566
5,Mean,Clashscore,MSE,59.50249101004347
5,Mean,Clashscore,MAE,5.512697004736545
5,Mean,Clashscore,MAD,5.038559668431661
5,Mean,Ramachandran outliers [%],MSE,1.6222698011797503
5,Mean,Ramachandran outliers [%],MAE,0.6133436039303756
5,Mean,Ramachandran outliers [%],MAD,0.49437237296988085
5,Mean,Rotamer outliers [%],MSE,13.471999678046553
5,Mean,Rotamer outliers [%],MAE,2.575872231370366
5,Mean,Rotamer outliers [%],MAD,2.1418193880089555
5,Mean,RSRZ outliers [%],MSE,19.175092994283684
5,Mean,RSRZ outliers [%],MAE,2.761411871882535
5,Mean,RSRZ outliers [%],MAD,2.283350583780372
5,Mean,R [%],MSE,9.948033722393225
5,Mean,R [%],MAE,2.418754530719356
5,Mean,R [%],MAD,1.9335861340659442
5,Mean,R free [%],MSE,13.364420375723148
5,Mean,R free [%],MAE,2.891675712596885
5,Mean,R free [%],MAD,2.430147193411589
5,Median,Clashscore,MSE,60.140247933884275
5,Median,Clashscore,MAE,4.68495867768595
5,Median,Clashscore,MAD,3.2699999999999996
5,Median,Ramachandran outliers [%],MSE,1.836389995166747
5,Median,Ramachandran outliers [%],MAE,0.5020057999033349
5,Median,Ramachandran outliers [%],MAD,0.04
5,Median,Rotamer outliers [%],MSE,15.043805904761903
5,Median,Rotamer outliers [%],MAE,2.3716000000000004
5,Median,Rotamer outliers [%],MAD,1.4300000000000002
5,Median,RSRZ outliers [%],MSE,20.270312501061575
5,Median,RSRZ outliers [%],MAE,2.627221231422505
5,Median,RSRZ outliers [%],MAD,1.84
5,Median,R [%],MSE,9.953453706158282
5,Median,R [%],MAE,2.417071947091455
5,Median,R [%],MAD,1.9000000000000021
5,Median,R free [%],MSE,13.368170759646045
5,Median,R free [%],MAE,2.892190756952071
5,Median,R free [%],MAD,2.4200000000000017
5,Bayesian,Clashscore,MSE,41.09693635081453
5,Bayesian,Clashscore,MAE,3.7994053903644707
5,Bayesian,Clashscore,MAD,2.4686157546603864
5,Bayesian,Ramachandran outliers [%],MSE,0.7032220992433134
5,Bayesian,Ramachandran outliers [%],MAE,0.40470705556018577
5,Bayesian,Ramachandran outliers [%],MAD,0.19089577586095108
5,Bayesian,Rotamer outliers [%],MSE,6.714672720372385
5,Bayesian,Rotamer outliers [%],MAE,1.777270312365761
5,Bayesian,Rotamer outliers [%],MAD,1.2294590805416448
5,Bayesian,RSRZ outliers [%],MSE,17.490386980999443
5,Bayesian,RSRZ outliers [%],MAE,2.5767470513629425
5,Bayesian,RSRZ outliers [%],MAD,2.00611929784478
5,Bayesian,R [%],MSE,2.945943917827028
5,Bayesian,R [%],MAE,1.2895249107820623
5,Bayesian,R [%],MAD,0.9805870590092383
5,Bayesian,R free [%],MSE,2.9759936375675267
5,Bayesian,R free [%],MAE,1.300306887220022
5,Bayesian,R free [%],MAD,1.0058889382356853
6,Mean,Clashscore,MSE,58.76013888950849
6,Mean,Clashscore,MAE,5.298001624856407
6,Mean,Clashscore,MAD,4.44139994615278
6,Mean,Ramachandran outliers [%],MSE,1.6008487741310213
6,Mean,Ramachandran outliers [%],MAE,0.6241910491969966
6,Mean,Ramachandran outliers [%],MAD,0.49422132132879026
6,Mean,Rotamer outliers [%],MSE,13.069426958530348
6,Mean,Rotamer outliers [%],MAE,2.563772442791197
6,Mean,Rotamer outliers [%],MAD,2.1218586947508085
6,Mean,RSRZ outliers [%],MSE,15.145059405038229
6,Mean,RSRZ outliers [%],MAE,2.717194026075131
6,Mean,RSRZ outliers [%],MAD,2.2939934183834474
6,Mean,R [%],MSE,10.290032650299668
6,Mean,R [%],MAE,2.46465834533576
6,Mean,R [%],MAD,1.9847982635396875
6,Mean,R free [%],MSE,14.550149683378068
6,Mean,R free [%],MAE,3.0092762342318147
6,Mean,R free [%],MAD,2.538974026703851
6,Median,Clashscore,MSE,59.61901900826446
6,Median,Clashscore,MAE,4.303388429752067
6,Median,Clashscore,MAD,2.5
6,Median,Ramachandran outliers [%],MSE,1.8229663122281294
6,Median,Ramachandran outliers [%],MAE,0.5113726437892702
6,Median,Ramachandran outliers [%],MAD,0.04
6,Median,Rotamer outliers [%],MSE,14.635719904761904
6,Median,Rotamer outliers [%],MAE,2.358714285714286
6,Median,Rotamer outliers [%],MAD,1.42
6,Median,RSRZ outliers [%],MSE,16.248822352441614
6,Median,RSRZ outliers [%],MAE,2.5984696390658173
6,Median,RSRZ outliers [%],MAD,1.8599999999999999
