,J1,J2,L
110893,NAT IMMUNOL,SCI IMMUNOL,3
114258,PROTEIN EXPR PURIF,PROTEIN EXPRESS PURIF,3
116798,INT J MOL MED,INT J MOL SCI,3
116900,INT J MOL MED,J MOL MED,4
117330,EUR J ORG CHEM,EUR J MED CHEM,3
117399,EUR J ORG CHEM,EUR J INORG CHEM,2
117440,EUR J ORG CHEM,J ORG CHEM,4
118733,INORG CHEM,BIOORG CHEM,2
118805,INORG CHEM,J ORG CHEM,2
118839,INORG CHEM,NAT CHEM,4
118843,INORG CHEM,ANAL CHEM,4
119136,INORG CHEM,FRONT CHEM,4
119179,INORG CHEM,FOOD CHEM,4
119336,FEBS J,PLYM J,4
119568,FEBS J,PEERJ,4
119629,FEBS J,ISME J,4
119638,FEBS J,MABS,4
119908,FEBS J,RES,4
120167,MOL CELL BIOL,MOL CELL BIOCHEM,4
120190,MOL CELL BIOL,MOL MEMBR BIOL,4
120246,MOL CELL BIOL,J MOL CELL BIOL,2
120253,MOL CELL BIOL,MOL SYST BIOL,4
120598,MOL CELL BIOL,MOL NEUROBIOL,4
120625,MOL CELL BIOL,BMC MOL CELL BIOL,4
121191,DEV CELL,MOL CELLS,4
122770,PLANT CELL,PLANT J,4
122957,PLANT CELL,PLANT SCI,4
124947,J COMPUT CHEM,J COMB CHEM,3
125314,J COMPUT CHEM,COMMUN CHEM,4
126098,CAN J CHEM,CHIN J CHEM,2
126275,CAN J CHEM,NAT CHEM,4
126279,CAN J CHEM,ANAL CHEM,3
126282,CAN J CHEM,AUST J CHEM,4
126977,ORG LETT,NANO LETT,4
127188,ORG LETT,CHEM LETT,4
127266,ORG LETT,SYNLETT,4
127780,PHOTOSYNTH RES,PHOTOSYN RES,2
128781,J PEPT RES,J PEPT SCI,3
129053,J PEPT RES,J PINEAL RES,4
129190,J PEPT RES,VET RES,4
130770,PLYM J,PLANTA,4
130804,PLYM J,PLANT J,3
130992,PLYM J,PEERJ,4
131024,PLYM J,MALAR J,4
131053,PLYM J,ISME J,4
133585,BIOCHEM PHARM,BIOCHEM PHARMACOL,4
135571,CHIN J CHEM,AUST J CHEM,4
137389,PLANTA,PLANT J,2
137458,PLANTA,PATENT,4
137576,PLANTA,PLANT SCI,4
137975,PLANTA,HEALTH,4
138075,NAT NEUROSCI,J NEUROSCI,3
138155,NAT NEUROSCI,INVERT NEUROSCI,4
140037,NAT CHEM BIOL,ACS CHEM BIOL,3
140412,NAT CHEM BIOL,CELL CHEM BIOL,4
141268,J PEPT SCI,J PHOTOSCI,3
141290,J PEPT SCI,J CELL SCI,3
141325,J PEPT SCI,J NEUROSCI,4
141657,J PEPT SCI,J PHARM SCI,4
141809,J PEPT SCI,INSECT SCI,4
141999,CHEM COMMUN,NAT COMMUN,4
142390,CHEM COMMUN,MED CHEM COMMUN,4
143907,J PHOTOSCI,J NEUROSCI,4
144193,J PHOTOSCI,J BIOSCI,4
144239,J PHOTOSCI,J PHARM SCI,4
148004,CELL DEATH DIFFER,CELL DEATH DIS,4
149024,BIOCONJUG CHEM,BIOORG CHEM,4
149873,CHEMISTRY,CHEM SCI,4
149953,CHEMISTRY,CHEMISTRYOPEN,4
150496,MOL CANCER THER,MOL CANCER RES,3
151206,MICROBIOLOGY,MICROBIOLOGYOPEN,4
151263,MICROBIOLOGY,CRYOBIOLOGY,3
151288,MICROBIOLOGY,MICROBIOL RES,4
